order,chapter_id,letter_number,source_file,source_sha256,translation_file,status,date,source_pages
1,m1-l0001,0001,processed/vol1/ocr/04_source_spine/m1-l0001/chapter.json,87a86512641d12daa31ff895433f62274fef6ac80aa35941a04da1d59b80cf4a,translations/vol1/m1-l0001.en.md,translated,1968-10-22,m1-p0024;m1-p0025;m1-p0026;m1-p0027
2,m1-l0002,0002,processed/vol1/ocr/04_source_spine/m1-l0002/chapter.json,349bb7989eaa19a733e16a343de0a9102e1f889715fd4ee8ff3ca14c69416467,translations/vol1/m1-l0002.en.md,translated,1968-10-24,m1-p0028;m1-p0029;m1-p0030;m1-p0031
3,m1-l0003,0003,processed/vol1/ocr/04_source_spine/m1-l0003/chapter.json,d95ee02f0cf0fd54361bfdf53caf41f9bacc151af8813d01dc7cc3a0eea57e82,translations/vol1/m1-l0003.en.md,translated,1968-10-25,m1-p0032;m1-p0033;m1-p0034;m1-p0035
4,m1-l0004,0004,processed/vol1/ocr/04_source_spine/m1-l0004/chapter.json,f02fe855dbd8f5966ba1a95a5f7503008f868b6676553d9fbcaab1867e45bba7,translations/vol1/m1-l0004.en.md,translated,1968-10-27,m1-p0036;m1-p0037;m1-p0038
5,m1-l0005,0005,processed/vol1/ocr/04_source_spine/m1-l0005/chapter.json,72cbde2e4cd15805966f6e5aa835a7936b585f9ffd76ddf5ea23e589bf8b6ec3,translations/vol1/m1-l0005.en.md,translated,1968-10-29,m1-p0039;m1-p0040;m1-p0041;m1-p0042
6,m1-l0006,0006,processed/vol1/ocr/04_source_spine/m1-l0006/chapter.json,3c13214a08030a6e9a5d00668e693ba1373954e914da4df5407378c0daaa773c,translations/vol1/m1-l0006.en.md,translated,1968-10-30,m1-p0043;m1-p0044;m1-p0045;m1-p0046;m1-p0047
7,m1-l0007,0007,processed/vol1/ocr/04_source_spine/m1-l0007/chapter.json,a7bbc3112e5aa3ff4489499073feb22d977a221eabc7785df5136a1bf59b701f,translations/vol1/m1-l0007.en.md,translated,1968-10-31,m1-p0048;m1-p0049;m1-p0050;m1-p0051;m1-p0052;m1-p0053
8,m1-l0008,0008,processed/vol1/ocr/04_source_spine/m1-l0008/chapter.json,e0cef24a71ee95979cac506f7d5fd0e524f856bbe549ae007522caa69dd17ad9,translations/vol1/m1-l0008.en.md,translated,1968-10-31,m1-p0054;m1-p0055;m1-p0056;m1-p0057
9,m1-l0009,0009,processed/vol1/ocr/04_source_spine/m1-l0009/chapter.json,33ce460ec2ad8897d6a6fa50cdb77c42afb558b2fb98c6483af484ecb5476e4d,translations/vol1/m1-l0009.en.md,translated,1968-11-01,m1-p0058;m1-p0059;m1-p0060;m1-p0061;m1-p0062
10,m1-l0010,0010,processed/vol1/ocr/04_source_spine/m1-l0010/chapter.json,5670fede15c413f81327523c3a388c0f58716dbdb1faf2ae778fee0526ec8a0c,translations/vol1/m1-l0010.en.md,translated,1968-11-02,m1-p0063;m1-p0064;m1-p0065;m1-p0066
